epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1277,2.18078,1.91005,1.58782,0.79743,0.72785,0.80104,0.38786,1.75228,1.13403,1.32562,0.000664,0.000664,0.000664
2,42.4615,1.95334,1.33909,1.42027,0.83994,0.74992,0.83506,0.41302,1.71142,1.10766,1.36891,0.000852872,0.000852872,0.000852872
