epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4448,2.03513,1.76866,1.48877,0.77827,0.70792,0.7395,0.33558,1.85911,1.25819,1.40225,0.000664,0.000664,0.000664
2,45.3662,1.78172,1.1084,1.30281,0.81116,0.76106,0.82196,0.40951,1.72794,1.05056,1.30211,0.000671987,0.000671987,0.000671987
